Order_ID,Customer_Name,Customer_Email,Product,Category,Unit_Price,Quantity,Order_Date,Region,Shipping_Cost,Payment_Method,Order_Status,Discount_Percentage,Total_Amount
ORD-000001,Mark Weaver,qjenkins@example.com,Headphones,Accessories,948.19,10,2023-05-05,West,18.81,Cash,Cancelled,15,8078.43
ORD-000002,Mr. Robert Novak,owatson@example.com,Smartphone,Mobile,484.5,3,2024-03-23,East,11.01,Cash,Shipped,20,1173.81
ORD-000003,Sean Watson,farrellsherry@example.com,Monitor,Mobile,300.03,4,2024-06-23,South,30.29,Bank Transfer,Cancelled,5,1170.4
ORD-000004,Carolyn Hubbard,abarry@example.com,Keyboard,Mobile,331.94,4,2023-06-02,East,25.68,Bank Transfer,Pending,15,1154.28
ORD-000005,Jeremy Foster,hutchinsonkatherine@example.org,Webcam,Accessories,851.39,1,2024-01-19,North,24.78,Credit Card,Pending,10,791.03
ORD-000006,Allen Gilmore,omccarthy@example.com,Monitor,Mobile,514.68,2,2023-09-23,East,34.57,Credit Card,Shipped,0,1063.93
ORD-000007,Ronald Brown,douglas08@example.com,Headphones,Computers,601.04,1,2023-08-11,North,36.1,Credit Card,Shipped,10,577.04
ORD-000008,Judy Morris,jennifer73@example.net,Headphones,Electronics,259.84,6,2024-03-29,East,37.03,Cash,Shipped,0,1596.07
ORD-000009,Toni White,jamesmurray@example.net,Mouse,Computers,799.92,3,2024-07-13,West,12.01,PayPal,Cancelled,15,2051.81
ORD-000010,Denise Young DDS,garrettmueller@example.net,Smartphone,Electronics,564.42,9,2023-12-22,East,22.91,PayPal,Completed,15,4340.72
ORD-000011,David Jefferson,ljohnson@example.com,Headphones,Computers,662.99,4,2023-08-06,North,13.73,Bank Transfer,Completed,10,2400.49
ORD-000012,Jessica Kim,millerrobert@example.org,Headphones,Mobile,706.27,8,2023-09-30,West,23.05,Credit Card,Shipped,5,5390.7
ORD-000013,Erin Collins,kelly03@example.org,Desktop,Mobile,405.22,1,2024-12-30,East,7.1,Credit Card,Pending,10,371.8
ORD-000014,Dana Jones,hinesolivia@example.org,Monitor,Computers,863.27,6,2024-12-28,South,14.93,Cash,Shipped,5,4935.57
ORD-000015,Bradley Ferguson,krystal77@example.net,Printer,Mobile,179.04,8,2023-04-16,North,11.03,Credit Card,Cancelled,0,1443.35
ORD-000016,Cynthia Ramirez,ksimmons@example.com,Tablet,Accessories,136.14,8,2024-12-10,West,19.43,Cash,Completed,5,1054.09
ORD-000017,Taylor Dillon,darcher@example.net,Headphones,Computers,67.99,3,2023-10-29,East,10.95,Bank Transfer,Completed,10,194.52
ORD-000018,Christina Garcia,erin53@example.net,Webcam,Accessories,926.46,9,2023-04-02,North,29.65,Bank Transfer,Completed,0,8367.79
